x y e
42.1348 0.4103 0.7727
42.7640 0.4103 0.7467
43.3933 0.4103 0.7178
44.0225 0.4103 0.6855
44.6517 0.4103 0.6494
45.2809 0.4103 0.6095
45.9101 0.4103 0.5656
46.5393 0.4103 0.5185
47.1685 0.4103 0.4695
47.7978 0.4103 0.4212
48.4270 0.4103 0.3776
49.0562 0.4103 0.3443
49.6854 0.4103 0.3270
50.3146 0.4103 0.3292
50.9438 0.4103 0.3504
51.5730 0.4103 0.3862
52.2022 0.4103 0.4310
52.8315 0.4103 0.4794
53.4607 0.4103 0.5279
54.0899 0.4103 0.5744
54.7191 0.4103 0.6177
55.3483 0.4103 0.6573
55.9775 0.4103 0.6932
56.6067 0.4103 0.7254
57.2360 0.4103 0.7542
57.8652 0.4103 0.7798
58.4944 0.4103 0.8026
59.1236 0.4103 0.8230
59.7528 0.4103 0.8414
60.3820 0.4103 0.8582
61.0112 0.4103 0.8736
61.6404 0.4103 0.8879
62.2697 0.4103 0.9010
62.8989 0.4103 0.9131
63.5281 0.4103 0.9240
64.1573 0.4103 0.9336
64.7865 0.4103 0.9415
65.4157 0.4103 0.9476
66.0449 0.4103 0.9512
66.6742 0.4103 0.9518
67.3034 0.4103 0.9487
67.9326 0.4103 0.9411
68.5618 0.4103 0.9280
69.1910 0.4103 0.9087
69.8202 0.4103 0.8823
70.4494 0.4103 0.8484
71.0787 0.4103 0.8069
71.7079 0.4103 0.7580
72.3371 0.4103 0.7024
72.9663 0.4103 0.6414
73.5955 0.4103 0.5764
74.2247 0.4103 0.5091
74.8539 0.4103 0.4412
75.4831 0.4103 0.3740
76.1124 0.4103 0.3088
76.7416 0.4103 0.2462
77.3708 0.4103 0.1870
78.0000 0.4103 0.1314

22.0000 0.6154 0.1269
22.6292 0.6154 0.1860
23.2584 0.6154 0.2508
23.8876 0.6154 0.3206
24.5169 0.6154 0.3940
25.1461 0.6154 0.4693
25.7753 0.6154 0.5443
26.4045 0.6154 0.6170
27.0337 0.6154 0.6854
27.6629 0.6154 0.7478
28.2921 0.6154 0.8030
28.9213 0.6154 0.8503
29.5506 0.6154 0.8897
30.1798 0.6154 0.9215
30.8090 0.6154 0.9461
31.4382 0.6154 0.9643
32.0674 0.6154 0.9766
32.6966 0.6154 0.9837
33.3258 0.6154 0.9859
33.9551 0.6154 0.9838
34.5843 0.6154 0.9778
35.2135 0.6154 0.9683
35.8427 0.6154 0.9558
36.4719 0.6154 0.9411
37.1011 0.6154 0.9246
37.7303 0.6154 0.9070
38.3596 0.6154 0.8887
38.9888 0.6154 0.8699
39.6180 0.6154 0.8506
40.2472 0.6154 0.8308
40.8764 0.6154 0.8101
41.5056 0.6154 0.7881
42.1348 0.6154 0.7643
42.7640 0.6154 0.7382
43.3933 0.6154 0.7092
44.0225 0.6154 0.6769
44.6517 0.6154 0.6409
45.2809 0.6154 0.6009
45.9101 0.6154 0.5571
46.5393 0.6154 0.5101
47.1685 0.6154 0.4612
47.7978 0.6154 0.4130
48.4270 0.6154 0.3695
49.0562 0.6154 0.3363
49.6854 0.6154 0.3191
50.3146 0.6154 0.3213
50.9438 0.6154 0.3424
51.5730 0.6154 0.3782
52.2022 0.6154 0.4229
52.8315 0.6154 0.4713
53.4607 0.6154 0.5198
54.0899 0.6154 0.5662
54.7191 0.6154 0.6095
55.3483 0.6154 0.6492
55.9775 0.6154 0.6852
56.6067 0.6154 0.7176
57.2360 0.6154 0.7464
57.8652 0.6154 0.7721
58.4944 0.6154 0.7950
59.1236 0.6154 0.8155
59.7528 0.6154 0.8339
60.3820 0.6154 0.8506
61.0112 0.6154 0.8660
61.6404 0.6154 0.8803
62.2697 0.6154 0.8935
62.8989 0.6154 0.9056
63.5281 0.6154 0.9165
64.1573 0.6154 0.9262
64.7865 0.6154 0.9343
65.4157 0.6154 0.9405
66.0449 0.6154 0.9444
66.6742 0.6154 0.9453
67.3034 0.6154 0.9425
67.9326 0.6154 0.9352
68.5618 0.6154 0.9225
69.1910 0.6154 0.9036
69.8202 0.6154 0.8776
70.4494 0.6154 0.8441
71.0787 0.6154 0.8030
71.7079 0.6154 0.7545
72.3371 0.6154 0.6993
72.9663 0.6154 0.6387
73.5955 0.6154 0.5740
74.2247 0.6154 0.5071
74.8539 0.6154 0.4396
75.4831 0.6154 0.3728
76.1124 0.6154 0.3081
76.7416 0.6154 0.2461
77.3708 0.6154 0.1874
78.0000 0.6154 0.1325

22.0000 0.8205 0.1287
22.6292 0.8205 0.1869
23.2584 0.8205 0.2509
23.8876 0.8205 0.3199
24.5169 0.8205 0.3926
25.1461 0.8205 0.4672
25.7753 0.8205 0.5418
26.4045 0.8205 0.6141
27.0337 0.8205 0.6822
27.6629 0.8205 0.7444
28.2921 0.8205 0.7994
